hour,co_gt,benzene_gt,nox_gt,no2_gt,pollution_score
0,1.8463335908759781,7.849923634543089,198.10437471441338,102.75596514501918,-0.21785266272686699
1,1.5671716143410817,6.23582466558405,169.4062289016223,91.70169439629343,-0.4149688265161377
2,1.262306756495057,4.705032421346831,136.46900497622224,78.75120173374266,-0.6291875205272213
3,1.0797872907416768,3.7491376130070484,120.14247432580113,71.48598585789726,-0.7519739339532358
4,0.9910968848173566,3.313699883819997,104.49671290614926,64.50538536666724,-0.8386723787383721
5,0.9465945130810705,3.4678150803397165,109.47763395435632,65.38053794589618,-0.8305049209249894
6,1.1227743242412531,5.101729607963116,142.67470710442979,75.7868783848844,-0.6486920505110505
7,1.8577404601877605,10.549490289432669,227.51030753918437,95.4862278091893,-0.12905623005060246
8,2.7292706986983704,15.85494327859453,330.17240370043464,118.44326954118652,0.4490254912883484
9,2.8535421959502387,14.653473190833314,346.42178191296705,127.08236255523501,0.4970634308561762
10,2.5114988574745394,12.260257959326953,326.64242422030713,128.94409268389865,0.3434202274750619
11,2.2516971930336176,11.084478625256489,299.6461254965929,126.18101874416213,0.21098272864641143
12,2.1768605635577307,10.883314675801413,269.7810985476988,120.81955299724629,0.12582188338613143
13,2.2107907228486328,11.02933021352582,253.21204229477542,116.46382595606916,0.09290046243099331
14,2.1462370980393124,10.400536415287048,243.55277067855974,113.90632376696301,0.03509914846141909
15,2.0878306106729205,10.334651981102382,239.91571885427814,114.58596507805701,0.021912225169924356
16,2.260967188251677,11.142853571557083,258.37096031646405,120.07545175276493,0.1311896721074997
17,2.717516591832105,13.827427742211993,298.8496633529202,130.8212142098614,0.407699102464381
18,3.2507106822989598,16.388253190013398,335.869360088611,139.61911665864923,0.6787555415837379
19,3.503429096583255,17.462918196128165,348.5338861562095,143.26855309220133,0.7938203390703794
20,3.286211613431653,15.239634484294216,335.62789940329526,138.96927157703544,0.6428945541351133
21,2.543618564669191,11.119639189438852,283.42073617979275,126.52940650749291,0.2451486514186866
22,2.009874000755214,9.097948922888516,223.16912851184577,112.86133630974525,-0.06267337502141763
23,1.9223345650463652,8.559620894100417,204.84829007466806,106.83941995815145,-0.15071360824298333
